iter	F1	Logloss
0	0.4051418976	0.6930044594
1	0.4038150297	0.692867557
2	0.4050979254	0.6927304066
3	0.4064991698	0.692589587
4	0.4056075508	0.6924721713
5	0.404765822	0.6923639286
6	0.404668702	0.6922484962
7	0.4044650685	0.6921456087
8	0.4045846858	0.6920378122
9	0.4042566746	0.6919504942
10	0.404058525	0.6918527138
11	0.4040500698	0.6917663378
12	0.4043063395	0.6916747555
13	0.4043783682	0.6915934372
14	0.4049130287	0.6915092925
15	0.4048985279	0.6914286187
16	0.405634366	0.6913642087
17	0.4054192899	0.691290923
18	0.4063412753	0.6912320167
19	0.4063102652	0.691165177
20	0.4061132483	0.6911027999
21	0.4068823411	0.6910477117
22	0.4072616687	0.6910011519
23	0.4074104343	0.6909394194
24	0.4072722804	0.690895091
25	0.4073563796	0.6908473412
26	0.4074004049	0.6908103513
27	0.4073049341	0.6907757414
28	0.40726207	0.6907350822
29	0.4073402137	0.690687035
30	0.4074386262	0.6906386407
31	0.4073757431	0.6906101296
32	0.4074772703	0.6905740322
33	0.4076101863	0.6905337697
34	0.4076867405	0.690496631
35	0.4077447315	0.6904558727
36	0.4077722265	0.6904166515
37	0.4078090531	0.6903807028
38	0.4077921637	0.6903535306
39	0.4078867571	0.6903233833
40	0.4079399082	0.6902899634
41	0.4079390066	0.6902548081
42	0.4080519234	0.6902234708
43	0.4080653097	0.6902033891
44	0.4082834246	0.6901676884
45	0.4083481516	0.6901424003
46	0.408367657	0.6901130464
47	0.4084223894	0.6900820066
48	0.4083594726	0.6900624703
49	0.4083215349	0.6900494792
50	0.4082922096	0.6900271167
51	0.4083276358	0.6900063408
52	0.4082885349	0.6899872509
53	0.4084175794	0.6899574507
54	0.4084579634	0.6899312205
55	0.4085076875	0.6899067754
56	0.4085326662	0.6898849583
57	0.4086577816	0.6898628437
58	0.4087081611	0.689839787
59	0.4087946478	0.6898254075
60	0.4088407054	0.6898076563
61	0.4088631979	0.6897875746
62	0.4089153885	0.6897643196
63	0.4090458886	0.6897403703
64	0.4091003263	0.6897269825
65	0.4091296117	0.6897071488
66	0.4091502706	0.6896900918
67	0.4092975072	0.6896710514
68	0.4093181477	0.6896442758
69	0.4093616984	0.6896303922
70	0.4094642248	0.6896046083
71	0.4094735388	0.6895802624
72	0.4095070933	0.689556214
73	0.4095352217	0.6895373719
74	0.4096086824	0.6895105468
75	0.4097145729	0.6894800028
76	0.4097683008	0.6894508472
77	0.4097676186	0.6894349802
78	0.4098242931	0.6894113285
79	0.4098694046	0.6893955607
80	0.4099609739	0.6893685868
81	0.4100389404	0.6893448358
82	0.4101649204	0.6893253988
83	0.4104084152	0.6893001603
84	0.4104401205	0.6892826075
85	0.4104933331	0.6892548898
86	0.4108645511	0.6892330231
87	0.4111538597	0.6892164123
88	0.411487944	0.689201537
89	0.4115356171	0.6891866617
90	0.4118339793	0.6891584482
91	0.4119293141	0.6891435729
92	0.4119638399	0.6891338048
93	0.4122915066	0.6891111447
94	0.4126146231	0.6890856584
95	0.4129526453	0.68906399
96	0.4131559537	0.689035479
97	0.4134005054	0.6890155957
98	0.4136577685	0.6889995799
99	0.4143629051	0.6889756803
100	0.4151661678	0.6889516814
101	0.4159670849	0.6889363103
102	0.4161025677	0.6889191541
103	0.4168472099	0.6888929735
104	0.4168495539	0.6888750736
105	0.4177094322	0.6888524135
106	0.4183627604	0.6888325302
107	0.4183527233	0.6888138369
108	0.4185205587	0.6887917719
109	0.41942012	0.6887707977
110	0.419999467	0.6887525506
111	0.4208558852	0.6887250809
112	0.4210143952	0.6887030654
113	0.4220566433	0.6886786203
114	0.4221768926	0.6886657284
115	0.4229551884	0.688640242
116	0.4232776272	0.6886197637
117	0.4243592394	0.6885936823
118	0.4257005696	0.6885724602
119	0.4257877284	0.6885582791
120	0.4268030186	0.6885342307
121	0.4281497154	0.688511521
122	0.4297909439	0.6884928277
123	0.431113073	0.6884713577
124	0.4313749884	0.6884570278
125	0.4323279085	0.6884364999
126	0.4330547632	0.68842336
127	0.4339321912	0.6884057576
128	0.4350104557	0.688389841
129	0.4367085743	0.6883652967
130	0.4376286006	0.6883449671
131	0.4375625521	0.6883313314
132	0.4388023438	0.6883052005
133	0.4397231683	0.688284028
134	0.4398835975	0.6882709377
135	0.4401142162	0.6882478314
136	0.4402245607	0.6882328569
137	0.4416145474	0.6882118827
138	0.4417756081	0.6881887268
139	0.4419279083	0.6881813387
140	0.4435116902	0.6881624967
141	0.4442833743	0.6881476214
142	0.4452957795	0.6881295231
143	0.4454658463	0.6881120198
144	0.4470875548	0.6880887152
145	0.4481253869	0.6880757736
146	0.4482331939	0.6880544524
147	0.4485418932	0.6880300569
148	0.4491767466	0.6880031821
149	0.4494394655	0.6879931165
150	0.4498532617	0.6879768528
151	0.4501576436	0.6879544903
152	0.4502776549	0.6879386729
153	0.4505840854	0.6879182937
154	0.4510800947	0.6878983608
155	0.4519696698	0.6878798162
156	0.4520810096	0.6878583958
