iter	Passed	Remaining
0	526	2104999
1	1026	2051193
2	1696	2259745
3	2259	2256913
4	2798	2236252
5	3312	2204809
6	3867	2206057
7	4353	2172420
8	4896	2171405
9	5436	2169343
10	6000	2176112
11	6400	2127244
12	6958	2134111
13	7482	2130413
14	8024	2131891
15	8597	2140828
16	9086	2128828
17	9667	2138676
18	10216	2140636
19	10795	2148389
20	11269	2135242
21	11962	2162973
22	12503	2162095
23	13055	2162878
24	13599	2162303
25	14255	2178927
26	14737	2168641
27	15247	2162956
28	15774	2159993
29	16363	2165437
30	16870	2159972
31	17518	2172297
32	18117	2177929
33	18645	2174919
34	19194	2174512
35	19795	2179677
36	20513	2197210
37	21073	2197238
38	21576	2191411
39	27460	2718555
40	32875	3174461
41	33584	3164904
42	34232	3150166
43	34792	3128199
44	35511	3121039
45	35990	3093656
46	36663	3083629
47	53065	4369043
48	53585	4320728
49	54106	4274408
50	54735	4238240
51	55256	4195210
52	55839	4158439
53	56526	4130597
54	57106	4096117
55	57798	4070686
56	58351	4036515
57	58912	4003991
58	59571	3979152
59	60032	3942106
60	60616	3914221
61	61267	3891500
62	61769	3860122
63	62321	3832776
64	62894	3807540
65	63349	3776028
66	63997	3756738
67	64487	3728895
68	65033	3705015
69	65632	3684811
70	66281	3667888
71	66703	3639036
72	67248	3617624
73	67831	3598757
74	68390	3579092
75	68836	3554120
76	69381	3534860
77	69915	3515474
78	70425	3495407
79	70924	3475322
80	71453	3457110
81	71946	3437644
82	72453	3419275
83	72976	3402106
84	73498	3385267
85	74029	3369220
86	74594	3355032
87	75115	3339215
88	75777	3329956
89	76285	3314175
90	76733	3296169
91	77182	3278595
92	77695	3264033
93	78329	3254828
94	78899	3243177
95	79439	3230533
96	79978	3218112
97	80534	3206585
98	80980	3190950
99	81556	3180695
100	82113	3169893
101	82658	3158836
102	83158	3146291
103	83798	3139220
104	84330	3128247
105	84838	3116617
106	85368	3105990
107	85958	3097703
108	86703	3095071
109	87179	3082984
110	87692	3072386
111	88235	3063045
112	88832	3055672
113	89341	3045434
114	89990	3040098
115	90601	3033572
116	91191	3026477
117	91960	3025354
118	92563	3018827
119	93149	3011839
120	93864	3009109
121	94394	3000494
122	95226	3001576
123	95814	2994966
124	96437	2989564
125	96890	2979006
126	97481	2972806
127	98045	2965874
128	98666	2960756
129	99181	2952542
130	99821	2948175
131	100280	2938532
132	100878	2933056
133	101389	2925152
134	102036	2921279
135	102585	2914632
136	103188	2909604
137	103565	2898338
138	104054	2890319
139	104493	2881045
140	104972	2872963
141	105530	2867150
142	105999	2859025
143	106618	2854999
144	107183	2849601
145	107692	2842790
146	108196	2835923
147	108729	2829916
148	109235	2823266
149	109745	2816792
150	110352	2812889
151	110818	2805469
152	111389	2800755
153	111874	2793966
154	112544	2791839
155	113194	2789216
156	113727	2783795
157	114129	2775219
158	114798	2773209
159	115382	2769173
160	115980	2765527
161	116546	2761153
162	117096	2756445
163	117594	2750555
164	118167	2746491
165	118733	2742312
166	119381	2740066
167	119915	2735211
168	120352	2728225
169	120844	2722554
170	121417	2718761
171	121836	2711577
172	122425	2708217
173	123004	2704675
174	123547	2700399
175	124024	2694705
176	124650	2692314
177	125234	2689024
178	125751	2684328
179	126298	2680329
180	127026	2680190
181	127567	2676119
182	127961	2669011
183	128588	2666821
184	129147	2663238
185	129791	2661427
186	130359	2658070
187	130818	2652546
188	131384	2649232
189	132007	2647102
190	132573	2643841
191	133147	2640764
192	133704	2637381
193	134312	2635018
194	135038	2634977
195	135568	2631142
196	136021	2625841
197	136523	2621533
198	137069	2618093
199	137608	2614569
200	138160	2611309
201	138700	2607849
202	139227	2604166
203	139745	2600369
204	140277	2596841
205	140841	2593953
206	141391	2590802
207	142048	2589656
208	142542	2585544
209	142995	2580725
210	143754	2581454
211	144339	2579045
212	144742	2573423
213	145306	2570701
214	145810	2566945
215	146365	2564101
216	146916	2561220
217	147381	2556869
218	148044	2555960
219	148611	2553421
220	149176	2550850
221	149766	2548724
222	150499	2549040
223	151011	2545622
224	151646	2544287
225	152188	2541406
226	152863	2540759
227	153368	2537302
228	153914	2534550
229	154506	2532559
230	154996	2528921
231	155561	2526541
232	156078	2523375
233	156675	2521536
234	157240	2519189
235	157707	2515297
236	158258	2512773
237	158840	2510746
238	159472	2509525
239	159949	2505870
240	160432	2502348
241	160975	2499782
242	161513	2497146
243	162132	2495783
244	162517	2490828
245	162981	2487121
246	163506	2484376
247	163929	2480091
248	164600	2479583
249	165152	2477284
250	165685	2474728
251	166209	2472038
252	166670	2468432
253	167161	2465309
254	167803	2464401
255	168366	2462364
256	168872	2459496
257	169326	2455885
258	169904	2454108
259	170437	2451682
260	171031	2450142
261	171617	2448495
262	172121	2445693
263	172715	2444183
264	173244	2441762
265	173865	2440652
266	174340	2437501
267	174958	2436363
268	175624	2435885
269	176208	2434282
270	176693	2431329
271	177340	2430613
272	177968	2429632
273	178547	2427980
274	179056	2425400
275	179581	2423053
276	180282	2423070
277	180779	2420365
278	181467	2420215
279	181969	2417590
280	182501	2415385
281	183016	2412964
282	183559	2410925
283	184317	2411698
284	184830	2409284
285	185230	2405411
286	185847	2404367
287	186387	2402331
288	186933	2400377
289	187527	2399060
290	188060	2396967
291	188615	2395164
292	189147	2393069
293	189706	2391329
294	190318	2390275
295	190854	2388255
296	191458	2387106
297	192083	2386223
298	192649	2384601
299	193120	2381818
300	193664	2379944
301	194241	2378495
302	194728	2375938
303	195144	2372550
304	195635	2370081
305	196156	2367986
306	196770	2367012
307	197303	2365076
308	197800	2362720
309	198343	2360923
310	198900	2359302
311	199419	2357246
312	199992	2355816
313	200472	2353313
314	201003	2351421
315	201665	2351061
316	202269	2350029
317	202923	2349569
318	203461	2347781
319	203938	2345295
320	204503	2343822
321	204982	2341387
322	205501	2339410
323	206041	2337675
324	206575	2335889
325	207111	2334134
326	207632	2332215
327	208301	2331961
328	208953	2331513
329	209410	2328902
330	209956	2327284
331	210465	2325261
332	211029	2323860
333	211623	2322791
334	212069	2320103
335	212671	2319129
336	213159	2316922
337	213887	2317324
338	214541	2316919
339	215202	2316595
340	215823	2315827
341	216431	2314931
342	216976	2313356
343	217528	2311876
344	218011	2309658
345	218572	2308281
346	219099	2306541
347	219713	2305724
348	220358	2305243
349	220955	2304247
350	221406	2301745
351	222038	2301122
352	222519	2298949
353	223059	2297390
354	223635	2296199
355	224189	2294795
356	224624	2292177
357	225270	2291714
358	225736	2289433
359	226210	2287243
360	226721	2285427
361	227192	2283225
362	227728	2281673
363	228325	2280742
364	228839	2278991
365	229363	2277340
366	229989	2276706
367	230486	2274797
368	230998	2273054
369	231638	2272557
370	232073	2270066
371	232622	2268695
372	233156	2267185
373	233752	2266275
374	234346	2265351
375	234920	2264230
376	235502	2263199
377	236067	2262001
378	236671	2261177
379	237299	2260585
380	237940	2260117
381	238580	2259647
382	239163	2258630
383	239550	2255771
384	239981	2253332
385	240470	2251454
386	240904	2249065
387	241447	2247701
388	241873	2245259
389	242462	2244329
390	242959	2242556
391	243497	2241175
392	243911	2238648
393	244484	2237595
394	245030	2236288
395	245565	2234891
396	246220	2234594
